x	intensity
0	-16635699
1	-16630873
2	-16632553
3	-16635792
4	-16639738
5	-16637457
6	-16647356
7	-16646076
8	-16647412
9	-16643576
10	-16639551
11	-16640355
12	-16638964
13	-16642757
14	-16637549
15	-16639803
16	-16643392
17	-16645363
18	-16640428
19	-16640851
20	-16632332
21	-16623157
22	-16619755
23	-16632715
24	-16640657
25	-16640768
26	-16645573
27	-16645819
28	-16646460
29	-16647686
30	-16645641
31	-16643142
32	-16641350
33	-16643149
34	-16646223
35	-16646469
36	-16648453
37	-16651148
38	-16649096
39	-16648329
40	-16646915
41	-16646979
42	-16647558
43	-16646722
44	-16646979
45	-16646915
46	-16646722
47	-16645116
48	-16647365
49	-16649357
50	-16648329
51	-16648393
52	-16648457
53	-16647108
54	-16647172
55	-16648200
56	-16649228
57	-16649549
58	-16649228
59	-16647300
60	-16646080
61	-16646658
62	-16647043
63	-16648200
64	-16648778
65	-16649035
66	-16648457
67	-16648971
68	-16649935
69	-16649742
70	-16649035
71	-16649100
72	-16648329
73	-16647750
74	-16649421
75	-16647686
76	-16646144
77	-16646015
78	-16646144
79	-16646658
80	-16646786
81	-16646658
82	-16646465
83	-16648521
84	-16650899
85	-16652569
86	-16650513
87	-16650642
88	-16647879
89	-16648971
90	-16649742
91	-16649678
92	-16648072
93	-16647879
94	-16648200
95	-16646851
96	-16647493
97	-16647108
98	-16645887
99	-16646658
100	-16646594
101	-16646530
102	-16647686
103	-16649357
104	-16649292
105	-16648843
106	-16648778
107	-16647750
108	-16647815
109	-16646915
110	-16647622
111	-16647815
112	-16649164
113	-16647558
114	-16645437
115	-16646787
116	-16647429
117	-16648714
118	-16647558
119	-16646401
120	-16647686
121	-16648136
122	-16649485
123	-16648778
124	-16651413
125	-16653019
126	-16652505
127	-16650320
128	-16648264
129	-16648843
130	-16648650
131	-16649357
132	-16648907
133	-16648072
134	-16647108
135	-16646144
136	-16649228
137	-16649614
138	-16651348
139	-16650642
140	-16650706
141	-16649742
142	-16650386
143	-16652123
144	-16649680
145	-16650063
146	-16647365
147	-16645437
148	-16645759
149	-16645758
150	-16647558
151	-16648714
152	-16647108
153	-16648457
154	-16647044
155	-16646851
156	-16647878
157	-16647875
158	-16649290
159	-16648714
160	-16648714
161	-16647686
162	-16647686
163	-16649228
164	-16650513
165	-16650770
166	-16650898
167	-16649293
168	-16648264
169	-16648008
170	-16648200
171	-16648843
172	-16648264
173	-16649999
174	-16649228
175	-16649485
176	-16649228
177	-16647943
178	-16649421
179	-16648007
180	-16648072
181	-16647750
182	-16648264
183	-16649100
184	-16649999
185	-16649999
186	-16649228
187	-16647558
188	-16647429
189	-16646979
190	-16647943
191	-16650449
192	-16649871
193	-16649228
194	-16647044
195	-16645887
196	-16645823
197	-16648200
198	-16649292
199	-16649871
200	-16651605
201	-16648136
202	-16649549
203	-16647558
204	-16648907
205	-16645251
206	-16646469
207	-16647879
208	-16648324
209	-16648641
210	-16647671
211	-16647990
212	-16632819
213	-16634236
214	-16647152
215	-16646514
216	-16647099
217	-16648196
218	-16646594
219	-16645698
220	-16646276
221	-16646789
222	-16647301
223	-16647044
224	-16647429
225	-16647686
226	-16646787
227	-16646851
228	-16648264
229	-16647686
230	-16647301
231	-16648072
232	-16647301
233	-16647493
234	-16647815
235	-16648778
236	-16646787
237	-16645437
238	-16644538
239	-16645437
240	-16646465
241	-16648200
242	-16648457
243	-16648264
244	-16647108
245	-16646851
246	-16647108
247	-16647558
248	-16647044
249	-16646208
250	-16647879
251	-16647172
252	-16648714
253	-16647686
254	-16647686
255	-16646208
256	-16646208
257	-16647429
258	-16646594
259	-16647301
260	-16646465
261	-16647685
262	-16647362
263	-16649354
264	-16649868
265	-16649675
266	-16650126
267	-16649678
268	-16649872
269	-16649808
270	-16648975
271	-16647241
272	-16646084
273	-16646403
274	-16646144
275	-16646144
276	-16646915
277	-16646658
278	-16646144
279	-16647493
280	-16647172
281	-16646787
282	-16647558
283	-16649164
284	-16649485
285	-16648264
286	-16648521
287	-16646915
288	-16647172
289	-16647493
290	-16649164
291	-16648907
292	-16648582
293	-16649934
294	-16648069
295	-16646912
296	-16647298
297	-16648262
298	-16650319
299	-16650706
300	-16651220
301	-16652249
302	-16650773
303	-16648461
304	-16644156
305	-16646470
306	-16646594
307	-16648843
308	-16648778
