x	intensity
0	-16022161
1	-16211668
2	-16253454
3	-16271366
4	-16224545
5	-16198893
6	-16171228
7	-16058745
8	-15990033
9	-15968611
10	-15967936
11	-15960731
12	-15942369
13	-15917326
14	-15854535
15	-15839999
16	-15769114
17	-15704386
18	-15669819
19	-15576231
20	-15476630
21	-15354557
22	-15256577
23	-15179751
24	-15087867
25	-14895343
26	-14688632
27	-14488181
28	-14272211
29	-14036591
30	-13835340
31	-13713415
32	-13575737
33	-13427805
34	-13271409
35	-13124781
36	-13054100
37	-13012238
38	-13005124
39	-12978326
40	-12987333
41	-13020353
42	-13044949
43	-13103093
44	-13139963
45	-13181197
46	-13227809
47	-13284044
48	-13331607
49	-13446846
50	-13552551
51	-13564114
52	-13650699
53	-13763475
54	-13885438
55	-13971393
56	-14095205
57	-14190437
58	-14287916
59	-14343625
60	-14426867
61	-14528143
62	-14673302
63	-14814723
64	-14944554
65	-15074805
66	-15213260
67	-15368303
68	-15511629
69	-15604197
70	-15709143
71	-15807573
72	-15885619
73	-15943196
74	-15994120
75	-16026073
76	-16037807
77	-16072340
78	-16077971
79	-16109227
80	-16124587
81	-16136357
82	-16154498
83	-16165474
84	-16179281
85	-16185401
86	-16185579
87	-16201385
88	-16214668
89	-16219221
90	-16222782
91	-16232014
92	-16231968
93	-16245268
94	-16245479
95	-16247802
96	-16249076
97	-16248803
98	-16252930
99	-16252930
100	-16252928
101	-16252671
102	-16251902
103	-16252928
104	-16254978
105	-16247033
106	-16247807
107	-16241120
108	-16248313
109	-16255233
110	-16257801
111	-16259088
112	-16254991
113	-16248049
114	-16248291
115	-16246233
116	-16250862
117	-16255511
118	-16258597
119	-16260915
120	-16257046
121	-16250123
122	-16241126
123	-16244454
124	-16246253
125	-16248308
126	-16250864
127	-16249573
128	-16248813
129	-16244963
130	-16252673
131	-16252946
132	-16254988
133	-16248832
134	-16250906
135	-16248833
136	-16250886
137	-16251155
138	-16254493
139	-16256797
140	-16259621
141	-16250367
142	-16249071
143	-16252162
144	-16252167
145	-16261422
146	-16260143
147	-16254745
148	-16251666
149	-16247807
150	-16260145
151	-16259883
152	-16262709
153	-16257325
154	-16258092
155	-16251409
156	-16252181
157	-16250886
158	-16252694
159	-16259104
160	-16259106
161	-16265530
162	-16258332
163	-16258839
164	-16253976
165	-16255010
166	-16254244
167	-16245502
168	-16247046
169	-16248071
170	-16252695
171	-16253467
172	-16249866
173	-16246014
174	-16243948
175	-16244967
176	-16246785
177	-16258852
178	-16255000
179	-16258853
180	-16245234
181	-16248575
182	-16246768
183	-16253196
184	-16258590
185	-16251145
186	-16254998
187	-16248833
188	-16252960
189	-16251154
190	-16248841
191	-16249359
192	-16244216
193	-16253216
194	-16254492
195	-16260953
196	-16255804
197	-16258603
198	-16251647
199	-16258077
200	-16258844
201	-16256792
202	-16257292
203	-16245489
204	-16250618
205	-16241352
206	-16247497
207	-16252637
208	-16253386
209	-16261052
210	-16221885
211	-16226280
212	-16254402
213	-16251056
214	-16252365
215	-16243412
216	-16246756
217	-16245492
218	-16254245
219	-16258859
220	-16258598
221	-16251130
222	-16254469
223	-16251130
224	-16255499
225	-16254720
226	-16251880
227	-16252150
228	-16246511
229	-16257561
230	-16250362
231	-16262438
232	-16261145
233	-16255234
234	-16252672
235	-16239803
236	-16250348
237	-16253434
238	-16254978
239	-16251137
240	-16250886
241	-16248822
242	-16253196
243	-16253193
244	-16248561
245	-16246758
246	-16245475
247	-16250101
248	-16259103
249	-16253705
250	-16252927
251	-16251643
252	-16249073
253	-16257026
254	-16258311
255	-16260895
256	-16257299
257	-16252949
258	-16249096
259	-16248820
260	-16248818
261	-16252672
262	-16257036
263	-16257033
264	-16253178
265	-16249326
266	-16247786
267	-16252421
268	-16253962
269	-16258078
270	-16256025
271	-16245989
272	-16245727
273	-16246766
274	-16247788
275	-16245987
276	-16249579
277	-16258571
278	-16258325
279	-16255502
280	-16251642
281	-16249848
282	-16250870
283	-16241109
284	-16248552
285	-16250611
286	-16252663
287	-16257292
288	-16251380
289	-16257021
290	-16253439
291	-16254714
292	-16257296
293	-16251386
294	-16250633
295	-16253453
296	-16253963
297	-16253954
298	-16254464
299	-16252412
300	-16250353
301	-16245742
302	-16244981
303	-16239851
304	-16244748
305	-16249347
306	-16250884
307	-16254726
308	-16254725
309	-16256525
310	-16251384
311	-16252927
312	-16253188
313	-16255760
314	-16253967
315	-16253968
316	-16254483
317	-16258593
318	-16252941
319	-16252681
320	-16245241
321	-16252174
322	-16258583
323	-16263211
324	-16258077
325	-16258849
326	-16260140
327	-16261420
328	-16260914
329	-16253208
330	-16251147
331	-16244982
332	-16253971
333	-16238550
334	-16243669
335	-16247262
336	-16254468
337	-16261148
338	-16258058
339	-16250609
340	-16253691
341	-16252933
342	-16250876
343	-16256028
344	-16260641
345	-16261164
346	-16255760
347	-16258069
348	-16249837
349	-16244446
350	-16247521
351	-16242897
352	-16240827
353	-16248561
354	-16249336
355	-16250364
356	-16252943
357	-16250626
358	-16258331
359	-16249850
360	-16250880
361	-16244198
362	-16244448
363	-16246240
364	-16248807
365	-16253192
366	-16253178
367	-16252923
368	-16250869
369	-16250613
370	-16246503
371	-16250107
372	-16243968
373	-16248118
374	-16239696
375	-16234369
376	-16220061
377	-16215500
378	-16199428
379	-16186648
380	-16171346
381	-16142712
382	-16119477
383	-16098564
384	-16083529
385	-16054134
386	-16037252
387	-15988868
388	-15971212
389	-15945432
390	-15898057
391	-15843558
392	-15791263
393	-15756657
394	-15722262
395	-15620890
396	-15531808
397	-15439107
398	-15353104
399	-15249535
400	-15133878
401	-15044586
402	-14949127
403	-14929169
404	-14886358
405	-14861198
406	-14897051
407	-14914134
408	-14941750
409	-14997272
410	-15021057
411	-15045358
412	-15074555
413	-15081937
414	-15083711
415	-15068062
416	-15081696
417	-15070976
418	-15073840
419	-15080283
420	-15122541
421	-15195177
422	-15251523
423	-15348290
424	-15380494
425	-15475504
426	-15555137
427	-15622530
428	-15665322
429	-15728579
430	-15793634
431	-15824654
432	-15863069
433	-15906623
434	-15948864
435	-15971087
436	-16002802
437	-16026062
438	-16076906
439	-16076115
440	-16098020
441	-16120242
442	-16131955
443	-16155988
444	-16166203
445	-16180745
446	-16199890
447	-16204934
448	-16222280
449	-16236042
450	-16244487
451	-16251652
452	-16254219
453	-16259106
454	-16261421
455	-16252942
456	-16244967
457	-16249331
458	-16253443
459	-16256274
460	-16251898
461	-16255742
462	-16254729
463	-16253183
464	-16252663
465	-16252662
466	-16245723
467	-16245470
468	-16257036
469	-16255757
470	-16251906
471	-16250366
472	-16250621
473	-16253195
474	-16252937
475	-16249858
476	-16255255
477	-16252946
478	-16253202
479	-16257313
480	-16254989
481	-16260904
482	-16257562
483	-16260385
484	-16260902
485	-16248821
486	-16248055
487	-16241371
488	-16243941
489	-16250366
490	-16253709
491	-16257324
492	-16250384
493	-16250902
494	-16253722
495	-16255257
496	-16255509
497	-16253186
498	-16251640
499	-16250874
500	-16252412
501	-16250879
502	-16248825
503	-16244715
504	-16247540
505	-16248816
506	-16250100
507	-16253177
508	-16251368
509	-16253414
510	-16248521
511	-16253661
512	-16237170
513	-16251084
514	-16254933
515	-16254678
516	-16250310
517	-16213956
518	-16218235
519	-16258757
520	-16258766
521	-16254682
522	-16253928
523	-16248020
524	-16249847
525	-16245511
526	-16244228
527	-16242426
528	-16247293
529	-16249852
530	-16251373
531	-16251618
532	-16253644
533	-16261886
534	-16258575
535	-16255499
536	-16260896
537	-16250873
538	-16254985
539	-16248817
540	-16252672
541	-16251130
542	-16252158
543	-16255241
544	-16251900
545	-16253714
546	-16255242
547	-16255757
548	-16253422
549	-16249576
550	-16251644
551	-16250362
552	-16257297
553	-16254479
554	-16247022
555	-16248056
556	-16246254
557	-16259107
558	-16250879
559	-16249593
560	-16249846
561	-16251916
562	-16256044
563	-16254220
564	-16253965
565	-16245741
566	-16243168
567	-16244704
568	-16247789
569	-16249074
570	-16253700
571	-16254985
572	-16256011
573	-16257560
574	-16255503
575	-16254217
576	-16253174
577	-16253989
578	-16256045
579	-16257059
580	-16253475
581	-16256307
582	-16247817
583	-16248848
584	-16248848
585	-16252960
586	-16253967
587	-16250883
588	-16250372
589	-16246273
590	-16248301
591	-16248293
592	-16250861
593	-16253702
594	-16252911
595	-16255235
596	-16254478
597	-16258841
598	-16254988
599	-16258845
600	-16248818
601	-16253187
602	-16240090
603	-16237250
604	-16243952
605	-16243954
606	-16250633
607	-16251662
608	-16251915
609	-16258083
610	-16248820
611	-16252677
612	-16249587
613	-16249334
614	-16251642
615	-16250874
616	-16257055
617	-16256020
618	-16259619
619	-16256278
620	-16248804
621	-16245995
622	-16246501
623	-16249333
624	-16251899
625	-16253961
626	-16259115
627	-16250636
628	-16248562
629	-16243427
630	-16247534
631	-16252938
632	-16256285
633	-16251924
634	-16251388
635	-16250359
636	-16256270
637	-16259099
638	-16261920
639	-16254987
640	-16247267
641	-16245213
642	-16241886
643	-16242656
644	-16250108
645	-16249586
646	-16254206
647	-16251893
648	-16258832
649	-16253435
650	-16256776
651	-16254976
652	-16254463
653	-16250865
654	-16252671
655	-16259101
656	-16258854
657	-16261166
658	-16253200
659	-16250371
660	-16244961
661	-16251391
662	-16257561
663	-16255247
664	-16243669
665	-16247523
666	-16249078
667	-16247023
668	-16246760
669	-16248810
670	-16256519
671	-16259347
672	-16257040
673	-16259112
674	-16249071
675	-16248559
676	-16246245
677	-16247016
678	-16249089
679	-16245734
680	-16258587
681	-16257048
682	-16256532
683	-16249593
684	-16245210
685	-16243667
686	-16247781
687	-16250352
688	-16254986
689	-16250877
690	-16254735
691	-16250624
692	-16252935
693	-16250092
694	-16250370
695	-16254479
696	-16254471
697	-16263207
698	-16254480
699	-16249085
700	-16247549
701	-16244467
702	-16248306
703	-16254991
704	-16259358
705	-16254734
706	-16253945
707	-16256519
708	-16256003
709	-16256514
710	-16254469
711	-16254984
712	-16254727
713	-16250627
714	-16251923
715	-16249344
716	-16248819
717	-16252927
718	-16254980
719	-16257049
720	-16252943
721	-16250617
722	-16241913
723	-16233683
724	-16239077
725	-16245751
726	-16259603
727	-16268091
728	-16262432
729	-16258325
730	-16253184
731	-16247531
732	-16238778
733	-16240079
734	-16255769
735	-16248560
736	-16247531
737	-16241621
738	-16249330
739	-16251387
740	-16251657
741	-16245489
742	-16231582
743	-16239308
744	-16251901
745	-16258597
746	-16251373
747	-16248544
748	-16248030
749	-16254974
750	-16253185
751	-16252932
752	-16254997
753	-16251384
754	-16258330
755	-16256535
756	-16257031
757	-16252153
758	-16246497
759	-16245731
760	-16246247
761	-16255510
762	-16254224
763	-16250112
764	-16249598
765	-16246270
766	-16243221
767	-16245791
768	-16244473
769	-16244204
770	-16243181
771	-16244477
772	-16246267
773	-16250130
774	-16250107
775	-16251099
776	-16248544
777	-16243930
778	-16235235
779	-16238060
780	-16246259
781	-16252927
782	-16253708
783	-16252937
784	-16251395
785	-16252436
786	-16251130
787	-16251129
788	-16251386
789	-16251401
790	-16255522
791	-16252179
792	-16253958
793	-16253185
794	-16252431
795	-16252183
796	-16251157
797	-16248572
798	-16247536
799	-16248318
800	-16253708
801	-16252936
802	-16252170
803	-16243416
804	-16245974
805	-16247528
806	-16248573
807	-16254994
808	-16254975
809	-16261133
810	-16259075
811	-16251121
812	-16248823
813	-16242395
814	-16246509
815	-16247022
816	-16250877
817	-16252448
818	-16255262
819	-16251408
820	-16251923
821	-16247561
822	-16246530
823	-16235035
824	-16228657
825	-16228396
826	-16234306
827	-16239187
828	-16240729
829	-16236603
830	-16240459
831	-16239960
832	-16225439
833	-16199096
834	-16186070
835	-16167677
836	-16158298
837	-16147843
838	-16131996
839	-16111983
840	-16082467
841	-16058201
842	-16038768
843	-16017089
844	-15985578
845	-15928995
846	-15872650
847	-15815582
848	-15738246
849	-15679042
850	-15611967
851	-15505751
852	-15414134
853	-15374422
854	-15352078
855	-15339864
856	-15313144
857	-15276717
858	-15245728
859	-15229075
860	-15213459
861	-15215539
862	-15198361
863	-15209698
864	-15216353
865	-15216614
866	-15254791
867	-15261650
868	-15312136
869	-15326467
870	-15375605
871	-15403795
872	-15436567
873	-15487292
874	-15535466
875	-15590801
876	-15635127
877	-15684847
878	-15726821
879	-15751938
880	-15794206
881	-15840375
882	-15877542
883	-15909019
884	-15931550
885	-15959185
886	-15996310
887	-16029631
888	-16061362
889	-16078748
890	-16099446
891	-16118092
892	-16138250
893	-16156929
894	-16170962
895	-16183189
896	-16204660
897	-16222814
898	-16233555
899	-16244289
900	-16241940
901	-16239117
902	-16240399
903	-16248081
904	-16248855
905	-16247081
906	-16247067
907	-16255784
908	-16255266
909	-16253209
910	-16251147
911	-16248299
912	-16255764
913	-16254207
914	-16256014
915	-16249581
916	-16248819
917	-16249076
918	-16251645
919	-16254719
920	-16252660
921	-16248812
922	-16250612
923	-16249076
924	-16250864
925	-16248807
926	-16250892
927	-16248563
928	-16250878
929	-16250614
930	-16254983
931	-16255504
932	-16254733
933	-16247544
934	-16242145
935	-16237527
936	-16243435
937	-16256050
938	-16255017
939	-16252937
940	-16250876
941	-16246749
942	-16248816
943	-16256271
944	-16257564
945	-16253198
946	-16243426
947	-16249084
948	-16242402
949	-16249600
950	-16247797
951	-16248556
952	-16248555
