x	intensity
0	-16618760
1	-16620011
2	-16629385
3	-16637711
4	-16638104
5	-16642796
6	-16645637
7	-16645792
8	-16643087
9	-16642505
10	-16637719
11	-16638166
12	-16640127
13	-16645975
14	-16650963
15	-16646143
16	-16645910
17	-16642533
18	-16638203
19	-16638286
20	-16630092
21	-16621886
22	-16620658
23	-16633229
24	-16638730
25	-16637699
26	-16641674
27	-16642957
28	-16642570
29	-16642963
30	-16641752
31	-16638226
32	-16636307
33	-16635800
34	-16637398
35	-16637008
36	-16638160
37	-16639321
38	-16639323
39	-16638113
40	-16636004
41	-16636008
42	-16633842
43	-16633275
44	-16631551
45	-16630137
46	-16628403
47	-16623417
48	-16622478
49	-16621610
50	-16617204
51	-16612022
52	-16610673
53	-16611888
54	-16611128
55	-16607692
56	-16606041
57	-16598865
58	-16589536
59	-16576364
60	-16562869
61	-16543861
62	-16518800
63	-16493476
64	-16467369
65	-16446133
66	-16426707
67	-16397615
68	-16363902
69	-16335039
70	-16294190
71	-16250171
72	-16191635
73	-16129881
74	-16076562
75	-16014095
76	-15931488
77	-15840693
78	-15748964
79	-15657943
80	-15550829
81	-15457622
82	-15372817
83	-15281037
84	-15210202
85	-15135598
86	-15075771
87	-15047659
88	-15029184
89	-15004154
90	-14982560
91	-14975599
92	-14958861
93	-14949005
94	-14938709
95	-14938837
96	-14949522
97	-14969357
98	-14986888
99	-15012497
100	-15046142
101	-15074503
102	-15097493
103	-15133893
104	-15192606
105	-15245332
106	-15294537
107	-15353873
108	-15402340
109	-15450983
110	-15494650
111	-15546817
112	-15600413
113	-15664409
114	-15735980
115	-15799697
116	-15864456
117	-15923539
118	-15982533
119	-16037467
120	-16082781
121	-16128120
122	-16174069
123	-16219454
124	-16263268
125	-16301841
126	-16338357
127	-16370635
128	-16398015
129	-16432219
130	-16462473
131	-16483132
132	-16505451
133	-16520230
134	-16532830
135	-16541657
136	-16550170
137	-16555793
138	-16558345
139	-16559620
140	-16565588
141	-16567636
142	-16572124
143	-16575063
144	-16575390
145	-16578142
146	-16584285
147	-16586904
148	-16590225
149	-16590849
150	-16592878
151	-16595677
152	-16601240
153	-16603986
154	-16605523
155	-16606407
156	-16609665
157	-16612730
158	-16617078
159	-16621807
160	-16627214
161	-16634876
162	-16638120
163	-16641578
164	-16639004
165	-16640027
166	-16640349
167	-16640731
168	-16643108
169	-16644707
170	-16647260
171	-16648537
172	-16648722
173	-16647501
174	-16645317
175	-16644996
176	-16645638
177	-16646666
178	-16648587
179	-16648205
180	-16647691
181	-16647180
182	-16646666
183	-16645638
184	-16645060
185	-16644674
186	-16646666
187	-16646730
188	-16647694
189	-16647630
190	-16647180
191	-16646987
192	-16646923
193	-16646345
194	-16647886
195	-16648714
196	-16649742
197	-16651156
198	-16649999
199	-16649935
200	-16647879
201	-16648136
202	-16648072
203	-16649485
204	-16647943
205	-16642423
206	-16642742
207	-16643253
208	-16646396
209	-16649219
210	-16649406
211	-16648696
212	-16631919
213	-16633335
214	-16647731
215	-16648634
216	-16647291
217	-16645691
218	-16644988
219	-16645441
220	-16645120
221	-16647624
222	-16647236
223	-16646401
224	-16645502
225	-16645180
226	-16646144
227	-16645952
228	-16647879
229	-16647815
230	-16648714
231	-16647429
232	-16647236
233	-16646723
234	-16646722
235	-16647751
236	-16647300
237	-16647494
238	-16645244
239	-16646273
240	-16647172
241	-16648586
242	-16650963
243	-16651927
244	-16650320
245	-16650063
246	-16648778
247	-16648136
248	-16648393
249	-16647172
250	-16647301
251	-16644795
252	-16644538
253	-16645630
254	-16646466
255	-16647493
256	-16647686
257	-16647684
258	-16647298
259	-16648712
260	-16647042
261	-16647170
262	-16646528
263	-16648200
264	-16648650
265	-16648843
266	-16649485
267	-16647816
268	-16647302
269	-16645760
270	-16645247
271	-16645311
272	-16645632
273	-16648136
274	-16647108
275	-16648264
276	-16648714
277	-16649100
278	-16649614
279	-16650063
280	-16650385
281	-16649742
282	-16649871
283	-16648714
284	-16649164
285	-16648521
286	-16648200
287	-16648200
288	-16646465
289	-16646401
290	-16646337
291	-16647493
292	-16646655
293	-16645371
294	-16646591
295	-16646976
296	-16648904
297	-16650703
298	-16650768
299	-16648650
300	-16648394
301	-16648780
302	-16648268
303	-16648847
304	-16648590
305	-16648783
306	-16647108
307	-16647172
308	-16649228
309	-16648200
310	-16648457
311	-16648778
312	-16649228
313	-16648714
314	-16649228
315	-16649228
316	-16649228
317	-16649228
318	-16648714
319	-16648780
320	-16648137
321	-16647688
322	-16648138
323	-16648202
324	-16649808
325	-16650579
326	-16650642
327	-16652634
328	-16650386
329	-16648716
330	-16648780
331	-16647045
332	-16647173
333	-16647174
334	-16645888
335	-16646722
336	-16646722
337	-16649100
338	-16647493
339	-16649100
340	-16648007
341	-16647108
342	-16648136
343	-16648907
344	-16650385
345	-16651027
346	-16649614
347	-16645823
348	-16644730
349	-16647236
350	-16647429
351	-16648457
352	-16647686
353	-16649485
354	-16648650
355	-16647493
356	-16647943
357	-16649100
358	-16648843
359	-16651091
360	-16650128
361	-16649806
362	-16648971
363	-16649421
364	-16647879
365	-16647365
366	-16648264
367	-16648393
368	-16648329
369	-16648072
370	-16647686
371	-16646594
372	-16648457
373	-16650513
374	-16651477
375	-16650963
376	-16649549
377	-16647943
378	-16648457
379	-16648457
380	-16648072
381	-16646979
382	-16647686
383	-16647172
384	-16647236
385	-16646337
386	-16644088
387	-16644538
388	-16645180
389	-16646594
390	-16647173
391	-16646661
