x	intensity
0	-16645630
1	-16635310
2	-16629611
3	-16625849
4	-16635123
5	-16644040
6	-16646743
7	-16644581
8	-16642711
9	-16640250
10	-16640891
11	-16638777
12	-16644837
13	-16646071
14	-16648649
15	-16648593
16	-16643082
17	-16639630
18	-16627574
19	-16618980
20	-16617377
21	-16630276
22	-16637517
23	-16641548
24	-16644103
25	-16644351
26	-16641146
27	-16640891
28	-16639231
29	-16638210
30	-16637253
31	-16640144
32	-16643413
33	-16645201
34	-16646222
35	-16645703
36	-16644358
37	-16642948
38	-16643016
39	-16642187
40	-16639759
41	-16637454
42	-16635791
43	-16638230
44	-16640353
45	-16639454
46	-16639904
47	-16638040
48	-16636247
49	-16633756
50	-16633642
51	-16631680
52	-16627150
53	-16625559
54	-16621656
55	-16616220
56	-16616283
57	-16615760
58	-16616017
59	-16609966
60	-16604230
61	-16593933
62	-16583849
63	-16566978
64	-16557393
65	-16540745
66	-16504754
67	-16479410
68	-16457639
69	-16435238
70	-16398750
71	-16362075
72	-16331199
73	-16294912
74	-16253652
75	-16216523
76	-16161230
77	-16095700
78	-16031965
79	-15955153
80	-15871579
81	-15782448
82	-15688822
83	-15588324
84	-15478132
85	-15362007
86	-15264721
87	-15186348
88	-15096293
89	-15013301
90	-14935388
91	-14871810
92	-14816588
93	-14791108
94	-14770793
95	-14770580
96	-14770971
97	-14785434
98	-14799772
99	-14821868
100	-14838142
101	-14859403
102	-14871238
103	-14886409
104	-14919867
105	-14958957
106	-14996784
107	-15033894
108	-15078832
109	-15133595
110	-15191450
111	-15259010
112	-15319767
113	-15379148
114	-15448358
115	-15514647
116	-15586815
117	-15648831
118	-15707411
119	-15781284
120	-15845464
121	-15914853
122	-15968247
123	-16032943
124	-16097283
125	-16148684
126	-16191237
127	-16245364
128	-16289079
129	-16336153
130	-16381329
131	-16428050
132	-16473903
133	-16501539
134	-16507227
135	-16532803
136	-16549243
137	-16564913
138	-16575530
139	-16584788
140	-16597713
141	-16603722
142	-16604108
143	-16603979
144	-16608900
145	-16608323
146	-16610037
147	-16613805
148	-16616224
149	-16621904
150	-16624071
151	-16626745
152	-16628856
153	-16630501
154	-16636387
155	-16636824
156	-16640335
157	-16641029
158	-16641543
159	-16642571
160	-16643525
161	-16644291
162	-16646152
163	-16646088
164	-16648393
165	-16646401
166	-16646272
167	-16646208
168	-16645373
169	-16647879
170	-16645566
171	-16647686
172	-16646658
173	-16647172
174	-16648200
175	-16648521
176	-16648843
177	-16648072
178	-16647236
179	-16645694
180	-16646016
181	-16646465
182	-16647108
183	-16645309
184	-16644606
185	-16644670
186	-16644350
187	-16645697
188	-16645185
189	-16646211
190	-16645053
191	-16645372
192	-16645759
193	-16646014
194	-16645952
195	-16645822
196	-16645117
197	-16644408
198	-16644282
199	-16645759
200	-16647623
201	-16645056
202	-16645505
203	-16645245
204	-16645434
205	-16647227
206	-16646130
207	-16645996
208	-16631790
209	-16632436
210	-16647278
211	-16645359
212	-16645747
213	-16643763
214	-16644087
215	-16644478
216	-16645634
217	-16646467
218	-16646851
219	-16647172
220	-16646465
221	-16645630
222	-16645116
223	-16646658
224	-16646851
225	-16646722
226	-16644988
227	-16645694
228	-16646337
229	-16647815
230	-16648329
231	-16646658
232	-16644859
233	-16643768
234	-16642738
235	-16643254
236	-16644602
237	-16646531
238	-16648714
239	-16648330
240	-16646593
241	-16646274
242	-16645758
243	-16646338
244	-16649292
245	-16648587
246	-16649549
247	-16647622
248	-16647236
249	-16644795
250	-16643767
251	-16646144
252	-16645630
253	-16648200
254	-16648714
255	-16648907
256	-16647685
257	-16646592
258	-16647555
259	-16646142
260	-16646527
261	-16646078
262	-16647172
263	-16647879
264	-16647044
265	-16645694
266	-16645438
267	-16645761
268	-16646403
269	-16646660
270	-16647238
271	-16646403
272	-16647236
273	-16646658
274	-16646144
275	-16645630
276	-16646851
277	-16647044
278	-16648971
279	-16649678
280	-16650963
281	-16647943
282	-16647301
283	-16645309
284	-16645759
285	-16646530
286	-16646787
287	-16646530
288	-16645116
289	-16645632
290	-16646146
291	-16646660
292	-16645117
293	-16646657
294	-16646657
295	-16648199
296	-16646658
297	-16648586
298	-16648136
299	-16647495
300	-16646660
301	-16648589
302	-16648911
303	-16649362
304	-16649233
305	-16648330
