x	intensity
0	-16616389
1	-16616137
2	-16623900
3	-16625735
4	-16630406
5	-16632354
6	-16641512
7	-16642153
8	-16639133
9	-16641854
10	-16641946
11	-16647669
12	-16646186
13	-16647694
14	-16647432
15	-16643716
16	-16641741
17	-16636622
18	-16629773
19	-16615529
20	-16614246
21	-16628743
22	-16635722
23	-16640842
24	-16643396
25	-16645442
26	-16647485
27	-16648331
28	-16648403
29	-16645581
30	-16642313
31	-16639102
32	-16641991
33	-16642882
34	-16645058
35	-16646146
36	-16648653
37	-16646596
38	-16646276
39	-16646275
40	-16645634
41	-16646597
42	-16644736
43	-16645504
44	-16646977
45	-16646401
46	-16645954
47	-16646017
48	-16645636
49	-16646535
50	-16644738
51	-16645248
52	-16644164
53	-16646666
54	-16645640
55	-16646152
56	-16647181
57	-16647185
58	-16645708
59	-16645319
60	-16646412
61	-16646860
62	-16648593
63	-16649621
64	-16649625
65	-16649301
66	-16649747
67	-16649041
68	-16648270
69	-16646925
70	-16646280
71	-16645509
72	-16644930
73	-16645768
74	-16646604
75	-16648143
76	-16646921
77	-16645888
78	-16645825
79	-16645952
80	-16646724
81	-16646145
82	-16648266
83	-16647169
84	-16647171
85	-16647880
86	-16648395
87	-16649037
88	-16647302
89	-16647750
90	-16645759
91	-16646851
92	-16647172
93	-16646979
94	-16647879
95	-16646272
96	-16646466
97	-16647686
98	-16646658
99	-16647750
100	-16646723
101	-16648136
102	-16647943
103	-16648073
104	-16647499
105	-16646278
106	-16647753
107	-16646982
108	-16646594
109	-16644791
110	-16645238
111	-16644790
112	-16644404
113	-16644663
114	-16645819
115	-16646528
116	-16646404
117	-16646856
118	-16645248
119	-16646275
120	-16645699
121	-16646663
122	-16647495
123	-16649165
124	-16650256
125	-16648650
126	-16647879
127	-16648457
128	-16648134
129	-16647235
130	-16645690
131	-16645047
132	-16646013
133	-16647493
134	-16649226
135	-16650191
136	-16648009
137	-16648331
138	-16646656
139	-16646660
140	-16645180
141	-16645372
142	-16646851
143	-16646533
144	-16645121
145	-16645382
146	-16645447
147	-16645637
148	-16645637
149	-16646793
150	-16648335
151	-16649109
152	-16648206
153	-16645827
154	-16645505
155	-16646149
156	-16646985
157	-16646530
158	-16646849
159	-16646143
160	-16646140
161	-16647172
162	-16646208
163	-16645441
164	-16646727
165	-16646985
166	-16648337
167	-16647498
168	-16647110
169	-16646980
170	-16646530
171	-16647425
172	-16647681
173	-16649225
174	-16648970
175	-16647940
176	-16645693
177	-16646656
178	-16646144
179	-16646592
180	-16646400
181	-16644728
182	-16645632
183	-16646274
184	-16647175
185	-16647046
186	-16646275
187	-16645373
188	-16646274
189	-16645760
190	-16645824
191	-16645374
192	-16644988
193	-16646593
194	-16646723
195	-16648006
196	-16646079
197	-16645758
198	-16645695
199	-16644923
200	-16646723
201	-16645376
202	-16644223
203	-16645249
204	-16644347
205	-16645497
206	-16646134
207	-16645937
208	-16648311
209	-16634296
210	-16636031
211	-16650106
212	-16648123
213	-16647547
214	-16647490
215	-16645376
216	-16644805
217	-16644162
218	-16646150
219	-16647557
220	-16646915
221	-16648007
222	-16648393
223	-16648261
224	-16648839
225	-16646981
226	-16648138
227	-16645632
228	-16644668
229	-16645182
230	-16645824
231	-16647619
232	-16647686
233	-16648776
234	-16648714
235	-16649742
236	-16650319
237	-16650190
238	-16649997
239	-16648713
240	-16647941
241	-16646658
242	-16646465
243	-16647622
244	-16648075
245	-16649871
246	-16648397
247	-16648651
248	-16647433
249	-16645630
250	-16645823
251	-16645116
252	-16646144
253	-16645373
254	-16645831
255	-16645702
256	-16645639
257	-16646089
258	-16641744
259	-16639318
260	-16633510
261	-16630514
262	-16625667
263	-16622666
264	-16619032
265	-16614498
266	-16611320
267	-16604554
268	-16600923
269	-16585579
270	-16575725
271	-16566007
272	-16555229
273	-16542769
274	-16528371
275	-16510143
276	-16484738
277	-16469761
278	-16454845
279	-16451130
280	-16450354
281	-16444771
282	-16431794
283	-16416812
284	-16410778
285	-16399747
286	-16395466
