x	intensity
0	-16642858
1	-16640044
2	-16635655
3	-16630385
4	-16607886
5	-16585098
6	-16578022
7	-16556173
8	-16556872
9	-16553560
10	-16546715
11	-16527084
12	-16496629
13	-16470422
14	-16440181
15	-16408550
16	-16381750
17	-16361324
18	-16331853
19	-16289076
20	-16256161
21	-16232426
22	-16179486
23	-16123997
24	-16067479
25	-16017803
26	-15981516
27	-15942418
28	-15896407
29	-15861059
30	-15827577
31	-15810185
32	-15779801
33	-15771821
34	-15781543
35	-15783216
36	-15782968
37	-15786896
38	-15796487
39	-15802506
40	-15812882
41	-15826783
42	-15837917
43	-15846156
44	-15863174
45	-15886204
46	-15915945
47	-15936848
48	-15966680
49	-15995246
50	-16026981
51	-16057563
52	-16090335
53	-16119762
54	-16148963
55	-16172700
56	-16204689
57	-16228804
58	-16263433
59	-16287367
60	-16327982
61	-16375374
62	-16402662
63	-16425615
64	-16462505
65	-16493979
66	-16526086
67	-16544703
68	-16559205
69	-16569126
70	-16578395
71	-16586638
72	-16598846
73	-16604456
74	-16610268
75	-16613472
76	-16614621
77	-16613528
78	-16611409
79	-16613264
80	-16616341
81	-16624398
82	-16627194
83	-16631021
84	-16633378
85	-16637845
86	-16642064
87	-16642064
88	-16645196
89	-16643976
90	-16644233
91	-16643526
92	-16644040
93	-16645261
94	-16645004
95	-16645710
96	-16645638
97	-16645638
98	-16644859
99	-16644859
100	-16646273
101	-16646530
102	-16647943
103	-16648393
104	-16647815
105	-16647750
106	-16646787
107	-16646401
108	-16645823
109	-16644731
110	-16645309
111	-16645566
112	-16645823
113	-16645887
114	-16644923
115	-16645823
116	-16646401
117	-16647172
118	-16647172
119	-16647429
120	-16646016
121	-16645052
122	-16646787
123	-16646787
124	-16648136
125	-16645309
126	-16644538
127	-16642418
128	-16644795
129	-16646208
130	-16647429
131	-16646787
132	-16646016
133	-16645951
134	-16647172
135	-16646658
136	-16645951
137	-16646144
138	-16646144
139	-16646594
140	-16646144
141	-16648200
142	-16646658
143	-16644602
144	-16644795
145	-16646787
146	-16647172
147	-16646851
148	-16646915
149	-16647815
150	-16646915
151	-16644730
152	-16645373
153	-16644859
154	-16647686
155	-16647686
156	-16647172
157	-16646658
158	-16646144
159	-16646658
160	-16645116
161	-16646273
162	-16645951
163	-16645823
164	-16646786
165	-16646658
166	-16647300
167	-16646915
168	-16646979
169	-16646979
170	-16646144
171	-16648200
172	-16648200
173	-16648264
174	-16646658
175	-16646144
176	-16644987
177	-16646016
178	-16647172
179	-16646144
180	-16645694
181	-16644602
182	-16644602
183	-16644602
184	-16647172
185	-16646658
186	-16647686
187	-16646658
188	-16646658
189	-16647172
190	-16645951
191	-16645823
192	-16644473
193	-16644088
194	-16645116
195	-16645502
196	-16646337
197	-16645955
198	-16645123
199	-16642556
200	-16642999
201	-16643060
202	-16646267
203	-16646264
204	-16647542
205	-16646769
206	-16631085
207	-16632564
208	-16647602
209	-16647093
210	-16646521
211	-16645494
212	-16644981
213	-16645308
214	-16645184
215	-16647945
216	-16647686
217	-16646658
218	-16646658
219	-16646144
220	-16646658
221	-16646144
222	-16645630
223	-16647172
224	-16648200
225	-16648393
226	-16648778
227	-16647429
228	-16646144
229	-16643445
230	-16642867
231	-16643124
232	-16644409
233	-16645630
234	-16646401
235	-16645887
236	-16645116
237	-16644602
238	-16644088
239	-16644602
240	-16646144
241	-16646529
242	-16647301
243	-16646658
244	-16647301
245	-16646658
246	-16646016
247	-16646144
248	-16646016
249	-16645887
250	-16646658
251	-16646144
252	-16646915
253	-16646016
254	-16646273
255	-16645757
256	-16646014
257	-16646910
258	-16648004
259	-16647106
260	-16644987
261	-16645500
262	-16644089
263	-16645952
264	-16646402
265	-16648651
266	-16648074
267	-16646917
268	-16645376
269	-16644926
270	-16645183
271	-16645504
272	-16646146
273	-16644220
274	-16644152
275	-16643635
276	-16645629
277	-16646144
278	-16647172
279	-16647172
280	-16646530
281	-16647172
282	-16647172
283	-16646915
284	-16647429
285	-16647108
286	-16649035
287	-16649357
288	-16649425
289	-16646144
290	-16645759
291	-16645821
292	-16647298
293	-16647105
294	-16645626
295	-16645626
296	-16644407
297	-16646014
298	-16647814
299	-16648716
300	-16647624
301	-16646404
302	-16646020
303	-16645311
304	-16647494
305	-16649035
306	-16648136
307	-16645694
308	-16647044
309	-16646016
310	-16647365
311	-16647044
312	-16647557
313	-16647040
314	-16646015
315	-16645759
316	-16645694
317	-16646209
318	-16646529
319	-16646787
320	-16647429
321	-16647172
322	-16646208
323	-16645759
324	-16644602
325	-16646272
326	-16645698
327	-16646658
328	-16646465
329	-16646208
330	-16646144
331	-16643574
332	-16643638
333	-16645180
334	-16646080
335	-16647429
336	-16647622
337	-16648072
338	-16647108
339	-16648329
340	-16646722
341	-16645694
342	-16646016
343	-16647686
344	-16648714
345	-16646851
346	-16645566
347	-16644988
348	-16644602
349	-16646080
350	-16646208
351	-16646658
352	-16647365
353	-16646848
354	-16647814
355	-16644924
356	-16645374
357	-16644281
358	-16643960
359	-16645695
360	-16646980
361	-16648586
362	-16647108
363	-16647622
364	-16646530
365	-16648136
366	-16648072
367	-16648136
368	-16647366
369	-16646790
370	-16647172
371	-16646401
372	-16645373
373	-16645116
374	-16645116
375	-16645887
376	-16646401
377	-16647686
378	-16646658
379	-16646144
380	-16646658
381	-16645052
382	-16646658
383	-16645116
384	-16646144
385	-16646401
386	-16646145
387	-16646147
388	-16644990
389	-16645825
390	-16646917
391	-16645763
392	-16644871
393	-16641789
394	-16644930
395	-16644345
396	-16644599
397	-16646073
398	-16643310
399	-16636813
400	-16635212
401	-16646523
402	-16646079
403	-16646524
404	-16647690
405	-16645894
406	-16644104
407	-16644165
408	-16647177
409	-16646594
410	-16646915
411	-16645887
412	-16645630
413	-16646658
414	-16647172
415	-16646658
416	-16645630
417	-16646208
418	-16646080
419	-16645759
420	-16645502
421	-16645180
422	-16646208
423	-16646016
424	-16647236
425	-16646273
426	-16645116
427	-16646465
428	-16644602
429	-16645887
430	-16645501
431	-16645759
432	-16647236
433	-16645116
434	-16645630
435	-16644923
436	-16643076
437	-16643466
438	-16639701
439	-16635493
440	-16630317
441	-16631160
442	-16627444
443	-16623886
444	-16623630
445	-16623887
446	-16620561
447	-16608783
448	-16604837
449	-16603105
450	-16593458
451	-16580684
452	-16568088
453	-16557977
454	-16537005
455	-16517045
456	-16483091
457	-16452461
458	-16429088
459	-16400199
460	-16384209
461	-16360358
462	-16319542
463	-16257009
464	-16216995
465	-16183074
466	-16142357
467	-16098967
468	-16037282
469	-15964448
470	-15887706
471	-15830620
472	-15752222
473	-15702276
474	-15648354
475	-15594968
476	-15542728
477	-15511031
478	-15487353
479	-15477448
480	-15471947
481	-15477078
482	-15485154
483	-15502482
484	-15505102
485	-15521734
486	-15524951
487	-15536222
488	-15545520
489	-15557611
490	-15567089
491	-15588466
492	-15609278
493	-15645635
494	-15671522
495	-15711641
496	-15761410
497	-15807989
498	-15851016
499	-15899204
500	-15944099
501	-15982204
502	-16027104
503	-16064171
504	-16113714
505	-16143668
506	-16175731
507	-16224622
508	-16265204
509	-16317258
510	-16358728
511	-16379874
512	-16409900
513	-16453366
514	-16484876
515	-16517924
516	-16535452
517	-16550290
518	-16564431
519	-16581243
520	-16589680
521	-16592934
522	-16604776
523	-16607309
524	-16610639
525	-16610896
526	-16611284
527	-16611989
528	-16614222
529	-16616026
530	-16619537
531	-16623175
532	-16627705
533	-16631716
534	-16632929
535	-16631399
536	-16632035
537	-16635041
538	-16635362
539	-16634398
540	-16634398
541	-16633370
542	-16634398
543	-16634398
544	-16633370
545	-16634262
546	-16633105
547	-16635097
548	-16637599
549	-16639522
550	-16639767
551	-16640016
552	-16641293
553	-16642193
554	-16643670
555	-16642257
556	-16640586
557	-16639430
558	-16639365
559	-16640843
560	-16643347
561	-16642764
562	-16644304
563	-16643213
564	-16643020
565	-16644112
566	-16644105
567	-16646088
568	-16645125
569	-16645513
570	-16643978
571	-16643335
572	-16644492
573	-16644042
574	-16643978
575	-16644555
576	-16644363
577	-16643024
578	-16641808
579	-16641548
580	-16640077
581	-16638866
582	-16637339
583	-16635038
584	-16632355
585	-16631774
586	-16632731
587	-16634016
588	-16634916
589	-16636779
590	-16636522
591	-16635237
592	-16632033
593	-16629728
594	-16627502
595	-16624770
596	-16618950
597	-16613324
598	-16609618
599	-16604710
600	-16598641
601	-16593662
602	-16592893
603	-16591542
604	-16587838
605	-16589249
606	-16591307
607	-16592333
608	-16584344
609	-16581448
610	-16579332
611	-16578162
612	-16558546
613	-16545764
614	-16545492
615	-16552322
616	-16547126
617	-16525593
618	-16499973
619	-16466285
620	-16430412
621	-16399726
622	-16342807
623	-16276853
624	-16209160
625	-16149464
626	-16066524
627	-16000881
628	-15932389
629	-15864349
630	-15782203
631	-15702665
632	-15592775
633	-15473410
634	-15355348
635	-15217484
636	-15047636
637	-14879482
638	-14682314
639	-14466616
640	-14231077
641	-13976917
642	-13726881
643	-13470426
644	-13238475
645	-13036342
646	-12867997
647	-12707833
648	-12597871
649	-12523650
650	-12483837
651	-12468337
652	-12486038
653	-12542899
654	-12591810
655	-12673801
656	-12731724
657	-12809907
658	-12857948
659	-12906418
660	-12953405
661	-12996859
662	-13062850
663	-13131520
664	-13221460
665	-13349254
666	-13484876
667	-13654755
668	-13819942
669	-13978962
670	-14148880
671	-14310210
672	-14472079
673	-14635583
674	-14780160
675	-14930551
676	-15083605
677	-15211095
678	-15335967
679	-15449688
680	-15561825
681	-15668282
682	-15774851
683	-15870361
684	-15943576
685	-16017521
686	-16089772
687	-16152624
688	-16222537
689	-16294591
690	-16348587
691	-16387909
692	-16440322
693	-16489389
694	-16515666
695	-16527487
696	-16539966
697	-16541621
698	-16549162
699	-16557327
700	-16553811
701	-16553552
702	-16556064
703	-16560037
704	-16564898
705	-16569819
706	-16578137
707	-16579546
708	-16584417
709	-16587935
710	-16591517
711	-16593058
712	-16596433
713	-16600840
714	-16601219
715	-16601220
716	-16600706
717	-16601092
718	-16601863
719	-16601607
720	-16602698
721	-16605447
722	-16608194
723	-16613053
724	-16617080
725	-16617316
726	-16617314
727	-16617612
728	-16620619
729	-16623174
730	-16623239
731	-16623238
732	-16622660
733	-16623881
734	-16623624
735	-16623881
736	-16625014
737	-16625065
738	-16628628
739	-16634081
740	-16635103
741	-16629546
742	-16632549
743	-16633635
744	-16632553
745	-16631595
746	-16631403
747	-16630824
748	-16631338
749	-16631338
750	-16632559
751	-16632174
752	-16629486
753	-16625515
754	-16619387
755	-16613969
756	-16608224
757	-16607587
758	-16600872
759	-16597177
760	-16594761
761	-16588172
762	-16584387
763	-16584900
764	-16586183
765	-16586759
766	-16587657
767	-16588430
768	-16586965
769	-16582156
770	-16583753
771	-16582591
772	-16582401
773	-16582008
774	-16581567
775	-16583500
776	-16581639
777	-16580427
778	-16580046
779	-16579788
780	-16579854
781	-16580881
782	-16580754
783	-16582038
784	-16580621
785	-16582436
786	-16584408
787	-16592212
788	-16596033
789	-16601141
790	-16609066
791	-16614548
792	-16620942
793	-16623225
794	-16623154
795	-16624632
796	-16624053
797	-16625403
798	-16624504
799	-16624375
800	-16631664
801	-16637078
802	-16641040
803	-16640975
804	-16642510
805	-16642506
806	-16643149
807	-16642819
808	-16642434
809	-16643004
810	-16642619
811	-16643904
812	-16643647
813	-16644546
814	-16644289
815	-16644739
816	-16645575
817	-16645770
818	-16646538
819	-16645702
820	-16645060
