x	intensity
0	-16606601
1	-16615222
2	-16622842
3	-16629596
4	-16637240
5	-16642472
6	-16644979
7	-16642329
8	-16641368
9	-16640054
10	-16639950
11	-16643452
12	-16645900
13	-16647131
14	-16646655
15	-16645216
16	-16644599
17	-16639227
18	-16640077
19	-16631300
20	-16620714
21	-16618981
22	-16629447
23	-16636425
24	-16638026
25	-16640275
26	-16639636
27	-16639000
28	-16638817
29	-16633710
30	-16631859
31	-16629617
32	-16627761
33	-16628609
34	-16628742
35	-16625601
36	-16622092
37	-16620516
38	-16617713
39	-16615923
40	-16607802
41	-16600246
42	-16600258
43	-16595455
44	-16596100
45	-16591302
46	-16590799
47	-16587302
48	-16569659
49	-16546883
50	-16527955
51	-16512530
52	-16490790
53	-16462192
54	-16414976
55	-16378136
56	-16336263
57	-16288234
58	-16247749
59	-16212423
60	-16175240
61	-16125970
62	-16068095
63	-16001286
64	-15923013
65	-15834363
66	-15746377
67	-15637093
68	-15513511
69	-15380310
70	-15245481
71	-15123231
72	-14962852
73	-14839067
74	-14710617
75	-14601940
76	-14518173
77	-14448715
78	-14388129
79	-14338078
80	-14304691
81	-14300146
82	-14307566
83	-14317598
84	-14325404
85	-14339408
86	-14371479
87	-14404973
88	-14442601
89	-14489566
90	-14536143
91	-14564734
92	-14594346
93	-14629424
94	-14675178
95	-14727998
96	-14797588
97	-14871852
98	-14958966
99	-15054385
100	-15144999
101	-15235149
102	-15310921
103	-15396156
104	-15478212
105	-15550103
106	-15621098
107	-15702190
108	-15774887
109	-15858784
110	-15940500
111	-16015892
112	-16073543
113	-16132021
114	-16172804
115	-16221924
116	-16276517
117	-16322594
118	-16365117
119	-16410144
120	-16458563
121	-16479454
122	-16497953
123	-16518838
124	-16536164
125	-16549214
126	-16564056
127	-16568019
128	-16579427
129	-16582244
130	-16583661
131	-16585069
132	-16588140
133	-16591974
134	-16594008
135	-16597205
136	-16602065
137	-16606020
138	-16610051
139	-16614136
140	-16615347
141	-16618406
142	-16622108
143	-16627476
144	-16632381
145	-16635250
146	-16636894
147	-16637330
148	-16640460
149	-16640201
150	-16641164
151	-16643092
152	-16643734
153	-16646241
154	-16646296
155	-16646297
156	-16645449
157	-16645445
158	-16646152
159	-16647180
160	-16648264
161	-16648004
162	-16648907
163	-16648843
164	-16648779
165	-16647429
166	-16647815
167	-16647301
168	-16648843
169	-16649228
170	-16648521
171	-16646529
172	-16646594
173	-16646851
174	-16647239
175	-16647171
176	-16648200
177	-16648714
178	-16650770
179	-16651155
180	-16650771
181	-16648971
182	-16648650
183	-16648714
184	-16649550
185	-16649806
186	-16649678
187	-16646786
188	-16647622
189	-16648650
190	-16646594
191	-16646208
192	-16643960
193	-16644730
194	-16645116
195	-16643959
196	-16646208
197	-16645116
198	-16646530
199	-16646016
200	-16646080
201	-16648200
202	-16647686
203	-16648010
204	-16645380
205	-16644736
206	-16644346
207	-16645176
208	-16646133
209	-16644974
210	-16645160
211	-16630893
212	-16631666
213	-16646830
