x	intensity
0	-13566528
1	-13346925
2	-13148334
3	-12986619
4	-12802123
5	-12589488
6	-12394368
7	-12231050
8	-12123397
9	-12083867
10	-12046476
11	-12035771
12	-12012223
13	-11937709
14	-11811189
15	-11674024
16	-11501978
17	-11323935
18	-11116096
19	-10894328
20	-10660835
21	-10439134
22	-10200938
23	-9978326
24	-9748696
25	-9535786
26	-9350697
27	-9265890
28	-9229627
29	-9271443
30	-9379686
31	-9568060
32	-9833471
33	-10143189
34	-10468089
35	-10803948
36	-11117374
37	-11387285
38	-11632876
39	-11797458
40	-11909682
41	-11996380
42	-12028381
43	-12042331
44	-12026751
45	-11987132
46	-11932550
47	-11871984
48	-11784889
49	-11716982
50	-11649608
51	-11580878
52	-11508049
53	-11462160
54	-11434698
55	-11432279
56	-11467672
57	-11528569
58	-11628046
59	-11759092
60	-11921364
61	-12115777
62	-12302526
63	-12499213
64	-12683479
65	-12858439
66	-12991400
67	-13087340
68	-13167217
69	-13241609
70	-13288217
71	-13323106
72	-13341163
73	-13355566
74	-13373029
75	-13374293
76	-13365913
77	-13360788
78	-13359821
79	-13344779
80	-13324173
81	-13303630
82	-13285065
83	-13258646
84	-13225687
85	-13201601
86	-13138819
87	-13073167
88	-13003608
89	-12945998
90	-12867988
91	-12782242
92	-12687323
93	-12590737
94	-12489942
95	-12389636
96	-12261759
97	-12147852
98	-12024150
99	-11909126
100	-11766933
101	-11626934
102	-11483940
103	-11350129
104	-11218670
105	-11116909
106	-11030963
107	-10991855
108	-10956146
109	-10964075
110	-10992304
111	-11062205
112	-11145397
113	-11249738
114	-11368100
115	-11491562
116	-11604186
117	-11696858
118	-11776265
119	-11811062
120	-11813921
121	-11775397
122	-11701754
123	-11607747
124	-11488132
125	-11341436
126	-11165683
127	-10975609
128	-10751415
129	-10528394
130	-10272911
131	-10029963
132	-9756240
133	-9486382
134	-9222906
135	-8985640
136	-8776663
137	-8616717
138	-8543814
139	-8573701
140	-8690566
141	-8885312
142	-9154769
143	-9462249
144	-9811887
145	-10200056
146	-10542742
147	-10858645
148	-11128051
149	-11358824
150	-11526362
151	-11645637
152	-11710473
153	-11745476
154	-11742017
155	-11711220
156	-11667628
157	-11602856
158	-11508790
159	-11417137
160	-11324526
161	-11239934
162	-11149491
163	-11081957
164	-11013857
165	-10972045
166	-10952902
167	-10956129
168	-11005482
169	-11110940
170	-11244517
171	-11413692
172	-11598568
173	-11811366
174	-12024859
175	-12231066
176	-12437709
177	-12622889
178	-12774128
179	-12908332
180	-12989254
181	-13070532
182	-13118163
183	-13153428
184	-13194405
185	-13221847
186	-13235609
187	-13240529
188	-13239839
189	-13244314
190	-13243727
191	-13234333
192	-13228818
193	-13223693
194	-13210182
195	-13186318
196	-13149336
197	-13100482
198	-13063748
199	-13016628
200	-12959795
201	-12896244
202	-12828534
203	-12749051
204	-12671987
205	-12581503
206	-12483191
207	-12368103
208	-12263974
209	-12175278
210	-12057973
211	-11944885
212	-11813235
213	-11689105
214	-11538918
215	-11401172
216	-11252332
217	-11108864
218	-10962949
219	-10862055
220	-10773538
221	-10714668
222	-10682342
223	-10685480
224	-10726754
225	-10790943
226	-10891629
227	-11014719
228	-11142978
229	-11292604
230	-11420086
231	-11548168
232	-11646348
233	-11741562
234	-11781304
235	-11791528
236	-11771109
237	-11712184
238	-11612806
239	-11497088
240	-11369522
241	-11215483
242	-11029381
243	-10826687
244	-10615562
245	-10394434
246	-10144625
247	-9888972
248	-9628950
249	-9328917
250	-9051317
251	-8818596
252	-8647040
253	-8534992
254	-8508122
255	-8560537
256	-8678556
257	-8923317
258	-9216841
259	-9558082
260	-9931111
261	-10295399
262	-10658625
263	-10976321
264	-11232913
265	-11441220
266	-11580126
267	-11697247
268	-11756631
269	-11792446
270	-11795508
271	-11768659
272	-11743582
273	-11686696
274	-11613888
275	-11530689
276	-11433354
277	-11348813
278	-11250891
279	-11164290
280	-11071298
281	-11000320
282	-10945194
283	-10926167
284	-10922634
285	-10973509
286	-11051079
287	-11161567
288	-11302893
289	-11491965
290	-11688084
291	-11890500
292	-12081108
293	-12283575
294	-12458984
295	-12602903
296	-12756492
297	-12899162
298	-13000214
299	-13101059
300	-13171339
301	-13217866
302	-13246980
303	-13262891
304	-13281542
305	-13286424
306	-13295648
307	-13302753
308	-13309426
309	-13299634
310	-13290032
311	-13288030
312	-13287318
313	-13255576
314	-13220836
315	-13193355
316	-13161219
317	-13111360
318	-13065480
319	-13021318
320	-12969029
321	-12907036
322	-12843044
323	-12773088
324	-12704606
325	-12632019
326	-12549079
327	-12465041
328	-12364493
329	-12262927
330	-12142358
331	-12026671
332	-11887294
333	-11765380
334	-11611644
335	-11481339
