x	intensity
0	-13924681
1	-13504715
2	-13120054
3	-12800460
4	-12451708
5	-12189456
6	-12074712
7	-12055116
8	-12100649
9	-12149639
10	-12180639
11	-12203413
12	-12175643
13	-12121639
14	-12029395
15	-11900152
16	-11749505
17	-11573252
18	-11403576
19	-11212845
20	-11012152
21	-10814567
22	-10623425
23	-10435905
24	-10287645
25	-10200185
26	-10158289
27	-10181908
28	-10267409
29	-10421371
30	-10624180
31	-10892658
32	-11173710
33	-11449225
34	-11735879
35	-11974286
36	-12147951
37	-12263933
38	-12335421
39	-12360775
40	-12368672
41	-12353514
42	-12318519
43	-12298692
44	-12260219
45	-12227700
46	-12208444
47	-12203711
48	-12213430
49	-12250115
50	-12315853
51	-12406090
52	-12506684
53	-12646278
54	-12805254
55	-12968956
56	-13121351
57	-13272471
58	-13425608
59	-13568323
60	-13692520
61	-13799874
62	-13878479
63	-13938624
64	-13978000
65	-13996866
66	-14011540
67	-14020586
68	-14043370
69	-14058536
70	-14069481
71	-14072486
72	-14074339
73	-14067307
74	-14060330
75	-14053796
76	-14048226
77	-14030756
78	-14017774
79	-14004895
80	-14001633
81	-13990746
82	-13969745
83	-13945681
84	-13908206
85	-13884638
86	-13848367
87	-13805664
88	-13752468
89	-13701267
90	-13623959
91	-13558806
92	-13484486
93	-13406388
94	-13333940
95	-13256003
96	-13156202
97	-13066572
98	-12962967
99	-12863101
100	-12767345
101	-12650728
102	-12505275
103	-12374581
104	-12241782
105	-12119567
106	-11979915
107	-11857280
108	-11744645
109	-11658176
110	-11592107
111	-11557154
112	-11541196
113	-11548581
114	-11585720
115	-11644207
116	-11720674
117	-11791472
118	-11859938
119	-11904376
120	-11938889
121	-11937481
122	-11911311
123	-11844233
124	-11734905
125	-11600468
126	-11445071
127	-11260686
128	-11055951
129	-10836031
130	-10620155
131	-10390450
132	-10151227
133	-9936890
134	-9721073
135	-9586212
136	-9517505
137	-9525722
138	-9623306
139	-9778889
140	-10000121
141	-10273610
142	-10578984
143	-10879049
144	-11197058
145	-11482243
146	-11721158
147	-11877007
148	-11968710
149	-12043949
150	-12061174
151	-12050239
152	-12027266
153	-11989574
154	-11944183
155	-11895802
156	-11831364
157	-11790000
158	-11768813
159	-11759453
160	-11767654
161	-11815977
162	-11899871
163	-11998685
164	-12137762
165	-12297511
166	-12493613
167	-12704052
168	-12903887
169	-13085591
170	-13258527
171	-13422145
172	-13552170
173	-13651683
174	-13738350
175	-13804803
176	-13848089
177	-13872163
178	-13882980
179	-13894762
180	-13911482
181	-13922286
182	-13942831
183	-13955248
184	-13958636
185	-13957359
186	-13956333
187	-13953521
188	-13946345
189	-13927661
190	-13918122
191	-13915499
192	-13918433
193	-13908695
194	-13891299
195	-13878937
196	-13865678
197	-13850253
198	-13821968
199	-13780485
200	-13740857
201	-13687972
202	-13620918
203	-13558400
204	-13480851
205	-13403789
206	-13351695
207	-13275732
208	-13191699
209	-13117711
210	-13030029
211	-12936965
212	-12838131
213	-12734960
214	-12630324
215	-12506754
216	-12372339
217	-12239422
218	-12110926
219	-11963519
220	-11832258
221	-11698123
222	-11588434
223	-11490237
224	-11396731
225	-11327223
226	-11298732
227	-11303079
228	-11346068
229	-11436057
230	-11537320
231	-11629197
232	-11719432
233	-11804826
234	-11869844
235	-11930917
236	-11933468
237	-11910876
238	-11838422
239	-11748365
240	-11624526
241	-11479119
242	-11332686
243	-11148720
244	-10935972
245	-10709803
246	-10462143
247	-10201909
248	-9959545
249	-9762900
250	-9600834
251	-9484894
252	-9453362
253	-9506226
254	-9610796
255	-9796755
256	-10042891
257	-10358386
258	-10682240
259	-11015287
260	-11321550
261	-11564128
262	-11758806
263	-11914713
264	-12006231
265	-12063178
266	-12104788
267	-12110660
268	-12079146
269	-12030312
270	-11972642
271	-11901619
272	-11849795
273	-11799226
274	-11756670
275	-11728249
276	-11704413
277	-11716008
278	-11776501
279	-11857931
280	-11963806
281	-12092713
282	-12234918
283	-12420483
284	-12620545
285	-12818940
286	-13009105
287	-13207309
288	-13361613
289	-13484750
290	-13590904
291	-13670845
292	-13734738
293	-13777991
294	-13826503
295	-13847958
296	-13872172
297	-13908717
298	-13936299
299	-13961767
300	-13973037
301	-13989736
302	-14008484
303	-14012813
304	-14004816
305	-14014479
306	-14011336
307	-14013254
308	-14008324
309	-14000464
310	-13982990
311	-13964631
312	-13943959
313	-13919128
314	-13905556
315	-13879884
316	-13858776
317	-13829730
318	-13800808
319	-13768348
320	-13744024
321	-13695951
322	-13653129
323	-13620240
324	-13584396
325	-13519521
326	-13444506
327	-13374802
328	-13302746
329	-13214750
330	-13114689
331	-13013916
332	-12893667
333	-12784220
334	-12665956
335	-12544076
336	-12408271
337	-12296255
338	-12164410
339	-12046445
340	-11937837
341	-11822709
342	-11685497
343	-11573361
344	-11490414
345	-11439775
346	-11408222
347	-11410471
348	-11448420
349	-11502243
350	-11579386
351	-11670793
352	-11778242
353	-11873222
354	-11986634
355	-12079503
356	-12120791
357	-12140562
358	-12106392
359	-12060422
360	-11989457
361	-11892434
362	-11754568
363	-11585652
364	-11393582
365	-11177231
366	-10959374
367	-10728916
368	-10469138
369	-10228667
370	-9979850
371	-9781980
372	-9606972
373	-9486730
374	-9466078
375	-9556502
376	-9689872
377	-9891512
378	-10145891
379	-10428783
380	-10753792
381	-11061184
382	-11347468
383	-11594368
384	-11809459
385	-11980398
386	-12089736
387	-12166914
388	-12205627
389	-12229497
390	-12212467
391	-12169384
392	-12102749
393	-12034723
394	-11941222
395	-11860280
396	-11781249
397	-11685768
398	-11641269
399	-11634516
400	-11638103
401	-11669597
